DateTime,Type,Mode,Fix_Type,Sat_Used_01,Sat_Used_02,Sat_Used_03,Sat_Used_04,Sat_Used_05,Sat_Used_06,Sat_Used_07,Sat_Used_08,Sat_Used_09,Sat_Used_10,Sat_Used_11,Sat_Used_12,PDOP,HDOP,VDOP,Checksum
2024-07-24 03:12:36,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:12:37,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:12:38,$GNGSA,A,3,19,33,,,,,,,,,,,0.9,0.6,0.7,3*33
2024-07-24 03:12:39,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,42,44,0.9,0.6,0.7,4*36
2024-07-24 03:12:40,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:12:41,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,1.0,0.7,0.7,1*33
2024-07-24 03:12:42,$GNGSA,A,3,19,26,33,,,,,,,,,,1.0,0.7,0.7,3*3E
2024-07-24 03:12:43,$GNGSA,A,3,07,10,11,12,13,21,34,38,40,42,44,,1.0,0.7,0.7,4*3F
2024-07-24 03:12:44,$GNGSA,A,3,03,04,,,,,,,,,,,1.0,0.7,0.7,5*33
2024-07-24 03:12:45,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,1.0,0.7,0.7,1*33
2024-07-24 03:12:46,$GNGSA,A,3,07,19,26,33,,,,,,,,,1.0,0.7,0.7,3*39
2024-07-24 03:12:47,$GNGSA,A,3,07,10,11,12,13,21,34,38,40,44,,,1.0,0.7,0.7,4*39
2024-07-24 03:12:48,$GNGSA,A,3,03,04,,,,,,,,,,,1.0,0.7,0.7,5*33
2024-07-24 03:12:49,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:12:50,$GNGSA,A,3,07,19,26,33,,,,,,,,,0.9,0.6,0.7,3*30
2024-07-24 03:12:51,$GNGSA,A,3,07,10,11,12,13,21,34,38,40,42,44,,0.9,0.6,0.7,4*36
2024-07-24 03:12:52,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:12:53,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:12:54,$GNGSA,A,3,07,19,26,33,,,,,,,,,0.9,0.6,0.7,3*30
2024-07-24 03:12:55,$GNGSA,A,3,07,10,11,12,13,21,34,38,40,42,44,,0.9,0.6,0.7,4*36
2024-07-24 03:12:56,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:12:57,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:12:58,$GNGSA,A,3,07,19,26,33,,,,,,,,,0.9,0.6,0.7,3*30
2024-07-24 03:12:59,$GNGSA,A,3,07,10,11,12,13,21,34,38,40,42,44,,0.9,0.6,0.7,4*36
2024-07-24 03:13:00,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:13:01,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:13:02,$GNGSA,A,3,07,19,26,33,,,,,,,,,0.9,0.6,0.7,3*30
2024-07-24 03:13:03,$GNGSA,A,3,07,10,11,12,13,21,34,38,40,42,44,,0.9,0.6,0.7,4*36
2024-07-24 03:13:04,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:13:05,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:13:06,$GNGSA,A,3,07,19,26,33,,,,,,,,,0.9,0.6,0.7,3*30
2024-07-24 03:13:07,$GNGSA,A,3,07,10,11,12,13,21,34,38,40,42,44,,0.9,0.6,0.7,4*36
2024-07-24 03:13:08,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:13:09,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:13:10,$GNGSA,A,3,07,19,26,33,,,,,,,,,0.9,0.6,0.7,3*30
2024-07-24 03:13:11,$GNGSA,A,3,07,10,11,12,13,21,34,38,40,42,44,,0.9,0.6,0.7,4*36
2024-07-24 03:13:12,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:13:13,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:13:14,$GNGSA,A,3,07,19,26,33,,,,,,,,,0.9,0.6,0.7,3*30
2024-07-24 03:13:15,$GNGSA,A,3,10,11,12,13,21,22,34,38,40,44,,,0.9,0.6,0.7,4*37
2024-07-24 03:13:16,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:13:17,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:13:18,$GNGSA,A,3,07,19,26,33,,,,,,,,,0.9,0.6,0.7,3*30
2024-07-24 03:13:19,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.9,0.6,0.7,4*30
2024-07-24 03:13:20,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:13:21,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:13:22,$GNGSA,A,3,19,26,33,,,,,,,,,,0.9,0.6,0.7,3*37
2024-07-24 03:13:23,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.9,0.6,0.7,4*30
2024-07-24 03:13:24,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:13:25,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:13:26,$GNGSA,A,3,19,26,33,,,,,,,,,,0.9,0.6,0.7,3*37
2024-07-24 03:13:27,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.9,0.6,0.7,4*30
2024-07-24 03:13:28,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:13:29,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:13:30,$GNGSA,A,3,19,26,33,,,,,,,,,,0.9,0.6,0.7,3*37
2024-07-24 03:13:31,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.9,0.6,0.7,4*30
2024-07-24 03:13:32,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:13:33,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:13:34,$GNGSA,A,3,19,26,33,,,,,,,,,,0.9,0.6,0.7,3*37
2024-07-24 03:13:35,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.9,0.6,0.7,4*30
2024-07-24 03:13:36,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:13:37,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:13:38,$GNGSA,A,3,19,33,,,,,,,,,,,0.9,0.6,0.7,3*33
2024-07-24 03:13:39,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.9,0.6,0.7,4*30
2024-07-24 03:13:40,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:13:41,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:13:42,$GNGSA,A,3,19,33,,,,,,,,,,,0.9,0.6,0.7,3*33
2024-07-24 03:13:43,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.9,0.6,0.7,4*30
2024-07-24 03:13:44,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:13:45,$GNGSA,A,3,05,06,09,11,12,13,19,20,29,,,,0.8,0.6,0.6,1*33
2024-07-24 03:13:46,$GNGSA,A,3,19,26,33,,,,,,,,,,0.8,0.6,0.6,3*37
2024-07-24 03:13:47,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.8,0.6,0.6,4*30
2024-07-24 03:13:48,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.6,0.6,5*3A
2024-07-24 03:13:49,$GNGSA,A,3,05,06,09,11,12,13,19,20,29,,,,0.8,0.6,0.6,1*33
2024-07-24 03:13:50,$GNGSA,A,3,19,26,33,,,,,,,,,,0.8,0.6,0.6,3*37
2024-07-24 03:13:51,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,43,44,,0.8,0.6,0.6,4*33
2024-07-24 03:13:52,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.6,0.6,5*3A
2024-07-24 03:13:53,$GNGSA,A,3,05,06,09,11,12,13,19,20,29,,,,0.8,0.5,0.6,1*30
2024-07-24 03:13:54,$GNGSA,A,3,19,26,33,,,,,,,,,,0.8,0.5,0.6,3*34
2024-07-24 03:13:55,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,43,44,0.8,0.5,0.6,4*34
2024-07-24 03:13:56,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.5,0.6,5*39
2024-07-24 03:13:57,$GNGSA,A,3,05,06,09,11,12,13,19,20,29,,,,0.8,0.5,0.6,1*30
2024-07-24 03:13:58,$GNGSA,A,3,19,26,33,,,,,,,,,,0.8,0.5,0.6,3*34
2024-07-24 03:13:59,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,43,44,0.8,0.5,0.6,4*34
2024-07-24 03:14:00,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.5,0.6,5*39
2024-07-24 03:14:01,$GNGSA,A,3,05,06,09,11,12,13,19,20,29,,,,0.8,0.5,0.6,1*30
2024-07-24 03:14:02,$GNGSA,A,3,10,19,26,33,,,,,,,,,0.8,0.5,0.6,3*35
2024-07-24 03:14:03,$GNGSA,A,3,07,10,11,12,13,14,21,22,34,38,40,43,0.8,0.5,0.6,4*31
2024-07-24 03:14:04,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.5,0.6,5*39
2024-07-24 03:14:05,$GNGSA,A,3,05,06,09,11,12,13,19,20,29,,,,0.8,0.5,0.6,1*30
2024-07-24 03:14:06,$GNGSA,A,3,10,19,26,33,,,,,,,,,0.8,0.5,0.6,3*35
2024-07-24 03:14:07,$GNGSA,A,3,07,10,11,12,13,14,21,22,34,38,40,43,0.8,0.5,0.6,4*31
2024-07-24 03:14:08,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.5,0.6,5*39
2024-07-24 03:14:09,$GNGSA,A,3,05,06,09,11,12,13,19,20,,,,,0.8,0.5,0.6,1*3B
2024-07-24 03:14:10,$GNGSA,A,3,10,19,26,33,,,,,,,,,0.8,0.5,0.6,3*35
2024-07-24 03:14:11,$GNGSA,A,3,07,10,11,12,13,14,21,22,34,38,40,42,0.8,0.5,0.6,4*30
2024-07-24 03:14:12,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.5,0.6,5*39
2024-07-24 03:14:13,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.8,0.6,0.6,1*3A
2024-07-24 03:14:14,$GNGSA,A,3,10,19,26,33,,,,,,,,,0.8,0.6,0.6,3*36
2024-07-24 03:14:15,$GNGSA,A,3,07,10,11,12,13,14,21,22,34,38,40,42,0.8,0.6,0.6,4*33
2024-07-24 03:14:16,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.6,0.6,5*3A
2024-07-24 03:14:17,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.8,0.6,0.6,1*3A
2024-07-24 03:14:18,$GNGSA,A,3,10,19,26,33,,,,,,,,,0.8,0.6,0.6,3*36
2024-07-24 03:14:19,$GNGSA,A,3,07,10,11,12,13,14,21,22,34,38,40,42,0.8,0.6,0.6,4*33
2024-07-24 03:14:20,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.6,0.6,5*3A
2024-07-24 03:14:21,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.8,0.5,0.6,1*39
2024-07-24 03:14:22,$GNGSA,A,3,10,19,26,33,,,,,,,,,0.8,0.5,0.6,3*35
2024-07-24 03:14:23,$GNGSA,A,3,07,10,11,12,13,14,21,22,34,38,40,42,0.8,0.5,0.6,4*30
2024-07-24 03:14:24,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.5,0.6,5*39
2024-07-24 03:14:25,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:14:26,$GNGSA,A,3,19,26,33,,,,,,,,,,0.9,0.6,0.7,3*37
2024-07-24 03:14:27,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,42,43,0.9,0.6,0.7,4*31
2024-07-24 03:14:28,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:14:29,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:14:30,$GNGSA,A,3,19,26,33,,,,,,,,,,0.9,0.6,0.7,3*37
2024-07-24 03:14:31,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,42,43,0.9,0.6,0.7,4*31
2024-07-24 03:14:32,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:14:33,$GNGSA,A,3,05,06,09,11,12,17,19,20,,,,,0.8,0.6,0.6,1*3C
2024-07-24 03:14:34,$GNGSA,A,3,07,19,26,33,,,,,,,,,0.8,0.6,0.6,3*30
2024-07-24 03:14:35,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,43,44,0.8,0.6,0.6,4*37
2024-07-24 03:14:36,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.6,0.6,5*3A
2024-07-24 03:14:37,$GNGSA,A,3,05,06,09,11,12,17,19,20,,,,,0.8,0.6,0.6,1*3C
2024-07-24 03:14:38,$GNGSA,A,3,07,19,26,33,,,,,,,,,0.8,0.6,0.6,3*30
2024-07-24 03:14:39,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,43,44,0.8,0.6,0.6,4*37
2024-07-24 03:14:40,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.6,0.6,5*3A
2024-07-24 03:14:41,$GNGSA,A,3,05,06,09,11,12,17,19,20,,,,,0.8,0.5,0.6,1*3F
2024-07-24 03:14:42,$GNGSA,A,3,07,19,26,33,,,,,,,,,0.8,0.5,0.6,3*33
2024-07-24 03:14:43,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,43,44,0.8,0.5,0.6,4*34
2024-07-24 03:14:44,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.5,0.6,5*39
2024-07-24 03:14:45,$GNGSA,A,3,05,06,09,11,12,17,19,20,,,,,0.8,0.5,0.6,1*3F
2024-07-24 03:14:46,$GNGSA,A,3,07,19,26,33,,,,,,,,,0.8,0.5,0.6,3*33
2024-07-24 03:14:47,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,43,44,0.8,0.5,0.6,4*34
2024-07-24 03:14:48,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.5,0.6,5*39
2024-07-24 03:14:49,$GNGSA,A,3,05,06,09,11,12,17,19,20,,,,,0.8,0.6,0.6,1*3C
2024-07-24 03:14:50,$GNGSA,A,3,07,19,33,,,,,,,,,,0.8,0.6,0.6,3*34
2024-07-24 03:14:51,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.8,0.6,0.6,4*30
2024-07-24 03:14:52,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.6,0.6,5*3A
2024-07-24 03:14:53,$GNGSA,A,3,05,06,09,11,12,17,19,20,,,,,0.8,0.6,0.6,1*3C
2024-07-24 03:14:54,$GNGSA,A,3,07,19,33,,,,,,,,,,0.8,0.6,0.6,3*34
2024-07-24 03:14:55,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.8,0.6,0.6,4*30
2024-07-24 03:14:56,$GNGSA,A,3,03,04,,,,,,,,,,,0.8,0.6,0.6,5*3A
2024-07-24 03:14:57,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:14:58,$GNGSA,A,3,19,33,,,,,,,,,,,0.9,0.6,0.7,3*33
2024-07-24 03:14:59,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.9,0.6,0.7,4*30
2024-07-24 03:15:00,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:15:01,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:15:02,$GNGSA,A,3,19,33,,,,,,,,,,,0.9,0.6,0.7,3*33
2024-07-24 03:15:03,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.9,0.6,0.7,4*30
2024-07-24 03:15:04,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:15:05,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,1.0,0.6,0.7,1*32
2024-07-24 03:15:06,$GNGSA,A,3,19,33,,,,,,,,,,,1.0,0.6,0.7,3*3B
2024-07-24 03:15:07,$GNGSA,A,3,10,11,12,13,21,22,34,38,40,44,,,1.0,0.6,0.7,4*3F
2024-07-24 03:15:08,$GNGSA,A,3,03,04,,,,,,,,,,,1.0,0.6,0.7,5*32
2024-07-24 03:15:09,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:15:10,$GNGSA,A,3,19,33,,,,,,,,,,,0.9,0.6,0.7,3*33
2024-07-24 03:15:11,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.9,0.6,0.7,4*30
2024-07-24 03:15:12,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:15:13,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:15:14,$GNGSA,A,3,19,33,,,,,,,,,,,0.9,0.6,0.7,3*33
2024-07-24 03:15:15,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,44,,0.9,0.6,0.7,4*30
2024-07-24 03:15:16,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
2024-07-24 03:15:17,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,1.0,0.7,0.7,1*33
2024-07-24 03:15:18,$GNGSA,A,3,19,33,,,,,,,,,,,1.0,0.7,0.7,3*3A
2024-07-24 03:15:19,$GNGSA,A,3,07,10,11,12,21,22,34,38,40,44,,,1.0,0.7,0.7,4*3B
2024-07-24 03:15:20,$GNGSA,A,3,03,04,,,,,,,,,,,1.0,0.7,0.7,5*33
2024-07-24 03:15:21,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,1.0,0.7,0.7,1*33
2024-07-24 03:15:22,$GNGSA,A,3,19,33,,,,,,,,,,,1.0,0.7,0.7,3*3A
2024-07-24 03:15:23,$GNGSA,A,3,07,10,11,12,21,22,34,38,40,42,44,,1.0,0.7,0.7,4*3D
2024-07-24 03:15:24,$GNGSA,A,3,03,04,,,,,,,,,,,1.0,0.7,0.7,5*33
2024-07-24 03:15:25,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,1.0,0.7,0.7,1*33
2024-07-24 03:15:26,$GNGSA,A,3,19,33,,,,,,,,,,,1.0,0.7,0.7,3*3A
2024-07-24 03:15:27,$GNGSA,A,3,07,10,11,12,21,22,34,38,40,42,,,1.0,0.7,0.7,4*3D
2024-07-24 03:15:28,$GNGSA,A,3,03,04,,,,,,,,,,,1.0,0.7,0.7,5*33
2024-07-24 03:15:29,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,1.0,0.7,0.7,1*33
2024-07-24 03:15:30,$GNGSA,A,3,19,33,,,,,,,,,,,1.0,0.7,0.7,3*3A
2024-07-24 03:15:31,$GNGSA,A,3,07,10,11,21,22,34,38,40,42,44,,,1.0,0.7,0.7,4*3E
2024-07-24 03:15:32,$GNGSA,A,3,03,04,,,,,,,,,,,1.0,0.7,0.7,5*33
2024-07-24 03:15:33,$GNGSA,A,3,05,06,09,11,12,19,20,,,,,,0.9,0.6,0.7,1*3A
2024-07-24 03:15:34,$GNGSA,A,3,07,19,33,,,,,,,,,,0.9,0.6,0.7,3*34
2024-07-24 03:15:35,$GNGSA,A,3,07,10,11,12,13,21,22,34,38,40,42,44,0.9,0.6,0.7,4*36
2024-07-24 03:15:36,$GNGSA,A,3,03,04,,,,,,,,,,,0.9,0.6,0.7,5*3A
